Periodo,Area,Subarea,Antiguedad,eNPS_Score,Motivation_Score,Manager_NPS,Liderazgo_Texto,Mejoras_Texto,Mejoras_Categoria,Valoras_Texto,Valoras_Categoria,Salario_Satisfecho,Lider_Claro_Objetivos,Lider_Comunica_Prioridades,Lider_Da_Feedback,Lider_Incentiva_Colaboracion,Lider_Da_Herramientas,Lider_Referente_Cultura
Q2 2025,Acquisition,Brand,Más de 2 años,7,9,9,"Mi líder ha sido un gran referente en términos de apoyo, confianza y claridad. Sabe dar autonomía sin dejar de estar presente cuando se necesita guía, y ha creado un ambiente donde se siente permitido proponer, equivocarse y crecer.","Mi calificacion anterior se debe a que Bia es un entorno retador, con mucho cambio y exigencia, y he tenido experiencias donde personas que recomendé salieron por reestructuraciones. Por eso, hoy soy más cauta al recomendar. Por otro lado, para los colaboradores actuales recomiendo seguir incentivando el uso de herramientas que integren AI para facilitar el trabajo diario, apoyando activamente su adopción y cubriendo los costos cuando sea necesario, puede marcar una gran diferencia en la experiencia del colaborador.",Sin comentarios,"Me siento muy comprometido con lo que estamos construyendo y me inspira trabajar en un entorno donde hay espacio para proponer, mejorar y ver resultados reales.",Impacto y Propósito,Si.,Si.,Si.,Si.,Si.,Si.,Si.
Q2 2025,Acquisition,Ops,Más de 1 año,8,8,9,Mi líder cumple con todos los puntos anteriores,Implementar otro día remoto,Bienestar y Balance,La implementación de AI es retadora y motivante,General / Otros,Parcialmente.,Si.,Si.,Si.,Si.,Si.,Si.
Q2 2025,Operaciones,Técnicos electricistas,Más de 1 año,10,10,10,"Porque Su estilo de liderazgo combina claridad estratégica, empatía y orientación constante al desarrollo de las personas. Es un líder que no solo dirige, sino que inspira, escucha activamente, confía en su equipo y promueve una cultura de aprendizaje y mejora continua. Un Crack!
","Porque Recomendar a  Bia no es solo una decisión racional, sino una convicción basada en resultados y propósito.
",Sin comentarios,"Es muy valioso ser parte de una compañia que no solo impulsa la transformación energética en Colombia, sino que también apuesta por el uso de tecnología para empoderar a los usuarios. Además, el ambiente de trabajo es dinámico, colaborativo y orientado al crecimiento personal y profesional, lo cual me inspira a dar lo mejor de mí cada día. Mejor dicho estoy Altamente motivado. ",Crecimiento y Aprendizaje,Si.,Si.,Si.,Si.,Si.,Si.,Si.
Q2 2025,Operaciones,General,6 meses a 1 año,10,10,10,Tengo un excelente líder,El plan de desarrollo claro es fundamental para mejorar la experiencia de todos los colaboradores.,Plan de Carrera y Capacitación,Me encuentro muy motivado ,General / Otros,Parcialmente.,Si.,Si.,Si.,Si.,Si.,Si.
Q2 2025,UX,VP,Más de 2 años,10,10,10,"Bia tiene un liderazgo cercano, inspirador y con visión de futuro. En Bia se lidera desde el ejemplo, con foco en las personas, apertura al cambio y decisiones alineadas al propósito. Eso crea un ambiente de aprendizaje y acción constante.","Cultura de servicio transversal: Fortalecer una cultura donde todas las áreas piensen y actúen desde la experiencia del cliente, asegurando coherencia en cada punto de contacto, desde la atención hasta el producto.",Sin comentarios,"Me motiva trabajar en Bia porque combina propósito, aprendizaje y servicio. Aquí puedo liderar con impacto, aportar a la transformación del sector energético y crear experiencias que conectan con las personas. Cada día representa una oportunidad para crecer, aportar valor real y construir un futuro más eficiente y humano. ",Crecimiento y Aprendizaje,Si.,Si.,Parcialmente.,Parcialmente.,Si.,Si.,Si.
Q2 2025,UX,Service,Más de 1 año,10,10,10,"Damaris en una líder excepcional, y lidera el equipo muy bien",na,Sin comentarios,"Disfruto mucho mi trabajo, y agradezco el aprendizaje que adquiero día a día. ",Crecimiento y Aprendizaje,Si.,Si.,Si.,Si.,Si.,Si.,Si.
Q2 2025,UX,Concierge,6 meses a 1 año,10,10,10,"Juan Carlos Toro es un líder que transmite motivación, disciplina y constancia en el logro de los objetivos del equipo.",Modificando el modo de trabajo híbrido a 3 días desde casa :D,Bienestar y Balance,"La cultura BIA, nos motiva cada día a poner un granito de arena en la construcción de esta empresa.",Equipo y Cultura,Si.,Si.,Si.,Si.,Si.,Si.,Si.
Q2 2025,UX,Service,Más de 1 año,10,10,10,.,.,Sin comentarios,Es agradeable y piensan en nosotros como empleados,General / Otros,Si.,Si.,Si.,Si.,Si.,Si.,Si.
Q2 2025,Acquisition,Brand,Más de 1 año,10,10,10,"Es un líder que reta, enseña, inspira y hace feedbacks constructivos. ",Generando más espacios de integración con otras áreas,Bienestar y Balance,"Siento que en Bia estoy retada constantemente, más ahora que estamos aprendiendo de AI y ejecutando proyectos reales. ",Crecimiento y Aprendizaje,Si.,Si.,Si.,Si.,Si.,Si.,Si.
Q2 2025,UX,Service,0 a 3 meses,8,8,8,"Mi lider, me genera confianza no como una lider, si no como una persona que me guia en mi proceso de crecimiento en BIA","En Medellín, rentar un lugar de trabajo mejorar para los días que venimos a laborar. ",Infraestructura y Oficina,"Estoy comenzando, por lo tanto, estoy motivado de crecer ",General / Otros,Si.,Si.,Si.,Si.,Si.,Si.,Si.
Q2 2025,UX,Concierge,Más de 1 año,10,10,10,Me motiva todos los días a ser mejor. ,mejorando la comunicación entre áreas ,Comunicación Interna,"Me gusta mucho trabajar en Bia 
",General / Otros,Si.,Si.,Si.,Si.,Si.,Si.,Si.
Q2 2025,UX,Concierge,Más de 1 año,8,9,6,,"Beneficio, como una cooperativa",Beneficios y Salario,Me apasiona lo que hago,Impacto y Propósito,Parcialmente.,Si.,Si.,Si.,Si.,Si.,Si.
Q2 2025,UX,Retención,0 a 3 meses,10,10,10,"Mi respuesta es clara yoli enseña con el ejemplo, nos motiva a estudiar en semana, nos acompaña en las tareas complejas y nos orienta, pero también nos da feedback directo. Le gusta involucrarse en lo que hacen otras áreas y nos motiva a que lo hagamos para que mejoremos la experiencia de los clientes de manera integral. nos motiva a que resolvamos y pensemos fuera de la caja.   ",Challenging permanente! eso nos lleva  a otro nivel! :),General / Otros,"Es una empresa con challenge permanente, siento que debo aprender cada día de mas cosas, crear cosas desde cero, me retan como los demás suben de nivel y quiero siempre estar sobre el nivel mas alto. Me encanta la cultura y el liderazgo de Sebas, siempre creativo, siempre visionario, llevándonos a otro nivel. Yoli es una líder que nos apoya y se prepara con nosotros para volvernos un área de nivel alto.       ",Crecimiento y Aprendizaje,Si.,Si.,Si.,Si.,Si.,Si.,Si.
Q2 2025,UX,Service,Más de 1 año,10,9,10,-,-,Sin comentarios,-,Sin comentarios,Si.,Si.,Si.,Si.,Si.,Si.,Si.
Q2 2025,UX,Concierge,6 meses a 1 año,10,10,10,"Juanca Toro, es un líder excepcional, siempre está dispuesto a ayudar, a buscar soluciones y a desarrollar en uno ese potencial enfocado al éxito. ","Creo que se podría mejorar teniendo plan carrera en la empresa, estableciendo convenios de estudio con universidades o instituciones relacionadas a la empresa: AI, energía, etc. También considero muy oportuno la creación de un fondo de empleados. ",Plan de Carrera y Capacitación,"Cada día es un nuevo reto, nuevo aprendizaje, nuevas situaciones que te llevan a tener un punto de vista diferente y creo que eso es lo que hace que cada día me sienta mas motivada en trabajar en Bia. ",Crecimiento y Aprendizaje,Parcialmente.,Si.,Si.,Si.,Si.,Si.,Si.
Q2 2025,UX,Service,6 meses a 1 año,10,10,10,"Una excelente líder, mujer, persona, con gran calidad humana y conocimiento.","Brindar acceso a formación continua. Asegurarse de que las herramientas digitales sean ágiles, intuitivas y verdaderamente útiles para el día a día.",Procesos y Herramientas,"Es una excelente compañía, cuyo empleado, hace parte de ella y tienen una gran calidad humana.",Equipo y Cultura,Si.,Si.,Si.,Si.,Si.,Si.,Si.
Q2 2025,UX,Service,0 a 3 meses,10,10,10,"Totalmente, es una persona dedicada y que siempre busca la manera de hacer que el equipo salga adelante, no es necesario gritos ni nada por el estilo con estrategias buenas y buscar puntos de inflexión y motivar el equipo es lo que me ha dado un buen líder.",Realmente la experiencia es muy buena.,Sin comentarios,"Me siento motivado, ya que el hecho de que el equipo te apoye a progresar y con proyectos proactivos que tengas y que te den las herramientas para hacerlo ayuda bastante y mejora mucho el hecho que sean herramientas que ayuden a todo un area.",Equipo y Cultura,Si.,Si.,Si.,Si.,Si.,Si.,Si.
Q2 2025,Producto,Product Manager,Más de 2 años,9,8,10,"Es una persona muy humana, que trabaja con mucha fuerza.",Por ahora no identifico ninguna mejora,Sin comentarios,"Me gusta mucho mi trabajo, mi equipo, los retos y el liderazgo que ofrece BIA. Justamente estamos pasando por un momento coyuntural donde estamos estructurando una nueva área y esto genera cierta incertidumbre.",Crecimiento y Aprendizaje,Si.,Si.,Si.,Si.,Si.,Si.,Si.
Q2 2025,Producto,Design,Más de 1 año,9,9,10,"Felipe es un gran líder, que sabe guiar a su equipo, siempre está en constante acompañamiento.",reducir la incertidumbre en los equipos comunicando oportunamente los cambios.,Sin comentarios,Siento que es un lugar en el que puedo crecer y crear sin limites. ,Crecimiento y Aprendizaje,Si.,Si.,Si.,Si.,Si.,Parcialmente.,Si.
Q2 2025,Producto,Product Manager,Más de 1 año,8,8,10,Pipe es una persona que siempre esta motivando al equipo y compartiendo conocimiento. Ha hecho un esfuerzo por cohecionar al equipo y que logremos trabajar de forma más fluida. ,Comunicar de forma oportuna los cambios para reducir la incertidumbre de los equipos. ,Sin comentarios,Mi equipo ( producto y tecnología) esta en constante cambio lo que a veces genera incertidumbre o entorpece el fortalecimiento de la cultura del equipo. ,Equipo y Cultura,Si.,Si.,Si.,Si.,Si.,Parcialmente.,Si.
Q2 2025,Tech,Automation,Más de 1 año,9,8,6,falta un poco de soft skills y empoderamiento,"ser un poco más relajados y no tan family-friendly, buscar más espacios de integración extra laboral, por ejemplo viernes de pola",Bienestar y Balance,"la gente es muy buena y se aprende mucho, me desmotiva un poco temas estratégicos y de cultura",Crecimiento y Aprendizaje,No.,Parcialmente.,Parcialmente.,Si.,Si.,Si.,Parcialmente.
Q2 2025,UX,Entrenamiento & Calidad,0 a 3 meses,9,9,8,"Gran líder, trabajadora, servicial, humana, con toda la proyección para continuar creciendo","Fortalecimiento de la cultura organizacional a través de rituales (para quienes no estamos en la matriz), e implementando buenas prácticas para el trabajo remoto y/o híbrido",Sin comentarios,Es una organización muy bonita y hay mucho por hacer y aprender,Crecimiento y Aprendizaje,Si.,Si.,Si.,Si.,Si.,Parcialmente.,Si.
Q2 2025,UX,Concierge,0 a 3 meses,10,10,10,"Considero que es un líder que realmente se preocupa por el equipo, motiva, escucha, acompaña. Sin duda, lo recomendaría como un referente de gestión, motivación y desarrollo.","Incluir actividades que ayuden a manejar el estrés, o pausas activas, para que el equipo se sienta más tranquilo y enfocado.",Bienestar y Balance,"Siento que, aunque llevo poco tiempo, estoy aprendiendo mucho. Es un reto bastante grande, pero cada día me enfrento a situaciones que me ayudan a mejorar y a volverme más competitiva en mis labores diarias.",Crecimiento y Aprendizaje,Si.,Si.,Parcialmente.,Si.,Si.,Si.,Si.
Q2 2025,Tech,Desarrollo Back,Más de 2 años,5,5,10,Tiene gran conocimiento sobre el negocio y siempre esta dispuesta a colaborar y a mejorar los procesos actuales,"Salarios competitivos y estabilidad laboral. En el equipo se percibe un ambiente de incertidumbre debido a las salidas constantes, lo que genera la sensación de que no hay una estabilidad laboral clara. A esto se suma la falta de un plan de carrera definido y tangible, así como la ausencia de información concreta sobre oportunidades de crecimiento o mejora. Además, el salario actual no resulta competitivo frente al mercado, y existe poca claridad respecto a las stock options y la posibilidad de acceder a más beneficios de este tipo.",Beneficios y Salario,"En el equipo se percibe un ambiente de incertidumbre debido a las salidas constantes, lo que genera la sensación de que no hay una estabilidad laboral clara. A esto se suma la falta de un plan de carrera definido y tangible, así como la ausencia de información concreta sobre oportunidades de crecimiento o mejora. Además, el salario actual no resulta competitivo frente al mercado, y existe poca claridad respecto a las stock options y la posibilidad de acceder a más beneficios de este tipo.",Sin comentarios,No.,Si.,Si.,Si.,Si.,Parcialmente.,Si.
Q2 2025,UX,Service,Más de 1 año,10,10,10,"Admiro profundamente a mi líder. Tiene una increíble capacidad para resolver y simplificar lo complejo, su conocimiento sobre el producto es impresionante. Siempre está dispuesta a apoyarnos, más allá de lo profesional, es un ser humano empático que sabe entender cualquier situación.","Podríamos mejorar la experiencia fortaleciendo los espacios de escucha activa y retroalimentación constante, asegurándonos de que cada persona se sienta vista y valorada. También sería positivo seguir promoviendo el desarrollo profesional con más oportunidades de formación interna, mentorías y planes de crecimiento claros. Finalmente, cuidar el equilibrio entre lo personal y lo laboral con políticas de bienestar más visibles y accesibles haría que la experiencia en Bia sea aún más significativa.",Plan de Carrera y Capacitación,"Soy feliz en Bia Energy porque cada día es una oportunidad para aprender y crecer. Siempre hay nuevos retos por enfrentar, lo que mantiene mi trabajo dinámico y motivador. Además, la cultura y las personas hacen que incluso los días difíciles se vivan con más facilidad y entusiasmo.",Crecimiento y Aprendizaje,Si.,Si.,Si.,Si.,Si.,Si.,Si.
Q2 2025,UX,Service,0 a 3 meses,10,10,10,"Mi líder es muy clara con los objetivos e implementa estrategias para cumplirlos, siempre motivando el trabajo en equipo. ","En general y hasta lo que llevo en la compañía, me parece una gran experiencia trabajar aquí. Sin embargo, podríamos venir a la oficina únicamente 2 días a la semana, lo digo más que todo por las personas que usamos transporte público.",Sin comentarios,"Soy nueva y todas las personas con las que tuve contacto durante mi capacitación, fueron muy motivadoras y transmiten esa energía de estar felices dentro de la compañía. Tengo muchas ganas de aportar lo mejor y crecer en la compañía.",Equipo y Cultura,Si.,Si.,Si.,Si.,Si.,Si.,Si.
Q2 2025,UX,Service,0 a 3 meses,5,6,5,No he tenido la oportunidad de conocerla. (Puse esa calificación por descarte)," Puse esa calificación porque hasta el momento llevo muy poco tiempo en BIA, pero en lo poco me he sentido muy bien, acompañada, guiada por los líderes y mis compañeros.",Bienestar y Balance,Aun me falta conocer más del servicio y empoderarme cuando vaya adquiriendo mas experiencia.,Sin comentarios,Parcialmente.,Si.,Si.,Si.,Si.,Si.,Si.
Q2 2025,Acquisition,Sales,Más de 2 años,9,9,10,"Juancho es un referente claro tanto de cultura como de profesionalismo. Tiene una comunicación clara, inspira desde y con el ejemplo y se enfoca en el crecimiento real del equipo. Siempre escucha, da ideas para seguir mejorando y nos hace caer en cuenta de las oportunidades de mejora para implementar. ", Fortaleciendo espacios de retroalimentación continua y reconociendo más frecuentemente los logros del equipo.,Comunicación Interna,El propósito de la empresa me inspira y el equipo es retador pero colaborativo. Todavía tengo oportunidades reales de aprender y crecer. ,Crecimiento y Aprendizaje,Parcialmente.,Si.,Si.,Si.,Si.,Si.,Si.
Q2 2025,Acquisition,Sales,0 a 3 meses,10,10,10,"Cami es una persona que sabe escuchar y entender muy bien a su equipo, somos solo dos pero somos muy diferentes a la vez, busca siempre motivarnos con lo que sabe que nos gusta a cada una, busca el foco en cada una y nos potencializa para que podamos mejorar nuestras habilidades diarias, siempre pregunta y esta abierta siempre a escucharnos","Por el momento todo me ha hecho sentir muy enriquecida, el foco de IA es algo que estamos todos en adaptabilidad y es chevere poder tomar cursos aparte que BIA nos brinde para capacitarnos empíricamente y entender mas de este mundo",Plan de Carrera y Capacitación,La verdad me motiva mucho porque siempre buscan el crecimiento de TODOS no solo en lo laboral sino en la vida,Crecimiento y Aprendizaje,Si.,Si.,Si.,Si.,Si.,Si.,Si.
Q2 2025,Acquisition,Sales,0 a 3 meses,10,10,10,"Mi lider siempre esta buscando las formas de no cumplir sino sobre cumplir, de enseñarnos, de sacar lo mejor de mi como BDR, socializa todo lo que puede conmigo, me enseña de su experiencia, aprendo todos los días de ella de cosas muy diferentes a la hora de hacer las cosas, siempre esta buscando darle la vuelta a las cosas, es muy estratégica, muy alineada con los valores de BIA, esta muy pendiente de buscar herramientas para apalancar mi proceso, es una lider muy completa y estructurada de la cual aprendo todos los días, me encanta que siempre busca sacar lo mejor de mi.","En el momento esta perfecta, y creo que ha sido asi por mi lider Camila Giraldo.",Sin comentarios,"Me siento muy conectada con las areas de la empresa y adicional con mucha proyección de trabajar aqui, rodeada de personas que en todo momento quieres hacer las cosas mucho mejor de lo que ya están. ",Equipo y Cultura,Si.,Si.,Si.,Si.,Si.,Si.,Si.
Q2 2025,UX,Concierge,4 meses a 6 meses,8,8,10,Todos los líderes del área son referentes. El apoyo que nos brindan a todos es fundamental para todo lo que hacemos en nuestra área. ,"Teniendo documentación de todos los procesos que se realizan, que la información de los procesos relacionados con el suministro de energía sean de conocimiento transversal para la compañía para que hayan mejoras en los procesos.",Procesos y Herramientas,"Hay un excelente ambiente en el equipo de trabajo, que nos permite tener apoyo en todos los procesos y actividades que realizamos a diario. ",Equipo y Cultura,Parcialmente.,Si.,Si.,Si.,Si.,Si.,Si.
Q2 2025,UX,Concierge,Más de 2 años,9,10,10,"Juan Toro es una persona verdaderamente inspiradora, con una destacada capacidad para la resolución de problemas y un fuerte enfoque en el cumplimiento de objetivos. Es un motivador nato, que brinda retroalimentación de manera asertiva y promueve activamente el desarrollo de cada miembro de su equipo.","Bia es un entorno donde el aprendizaje es constante y los desafíos diarios te impulsan a desarrollar habilidades clave como la adaptabilidad, la comunicación y la resolución de problemas. Es un excelente lugar para quienes buscan crecer tanto a nivel profesional como personal.",Sin comentarios,"Veo en Bia una gran oportunidad para fortalecer tanto el conocimiento como las habilidades blandas. Estar aquí exige versatilidad y una constante capacidad de adaptación, lo cual es sumamente valioso para mejorar el rendimiento profesional.",Crecimiento y Aprendizaje,Si.,Si.,Si.,Si.,Si.,Si.,Si.
Q2 2025,UX,Concierge,4 meses a 6 meses,7,7,9,es un buen líder,Espacios de escucha ,Comunicación Interna,me siento motivada,General / Otros,Parcialmente.,Si.,Si.,Si.,Si.,Si.,Si.
Q2 2025,UX,Concierge,Más de 2 años,9,9,10,"Tengo la mejor Líder del Mundo, es persistente, inteligente y lo que mas motiva de ella es que todos los días aprendo algo de ella, además de que me da la confianza para liderar espacios que estoy en capacidad de sustentar,","Siento que los Onboarding iniciales tienen mucho aun por aprovechar y mejorar, al área nos esta llegando personas sin conocimiento de Buk, Objetivos, usuarios y es algo que se puede resolver desde la etapa inicial con People.",Sin comentarios,"En términos generales me encuentro satisfecho, sigo pensando que la manualidad tiene oportunidad de mejora,  considero que este es un compromiso no solo la compañia, si no mio, pero es necesaria la inversión en mejores herramientas o desarrollo de las actuales.",Crecimiento y Aprendizaje,Si.,Si.,Si.,Si.,Si.,Si.,Si.
Q2 2025,UX,Concierge,Más de 1 año,9,9,10,"Mi líder me reta a ir más allá, a ser un ejm en solución y a poner el cliente en el centro","Creo que es importante alinear expectativas del ritmo cambiante y niveles de enfoque y aderencia que necesitamos en CX, con el fin de que no haya frustración o se siente decepcionado vs su expectativa",Sin comentarios,"Es una empresa que te reta y te lleva por nuevas tendencias del mercado, es una gran escuela",Impacto y Propósito,Si.,Si.,Si.,Si.,Si.,Si.,Si.
Q2 2025,Energy,,Más de 2 años,8,8,9,"Es un líder con amplio conocimiento en distintas facetas, no solo del sector energético sino también de diversas verticales de negocio, lo que le permite tener una visión 360° para abordar estratégicamente los diferentes frentes de la compañía.","Una oportunidad de mejora importante está en promover el desarrollo profesional mediante rutas claras de crecimiento. Adicionalmente, sería valioso revisar y renovar las dinámicas utilizadas en las actividades a nivel compañía, para que generen mayor conexión, participación y entendimiento del sentir de cada una de las personas que trabajan dentro de Bia.",Plan de Carrera y Capacitación,"Me siento motivado y comprometido con los objetivos de la compañía, con ánimo de seguir contribuyendo positivamente a su crecimiento y en el desarrollo de nuevas verticales de negocio",Crecimiento y Aprendizaje,Si.,Si.,Si.,Si.,Si.,Parcialmente.,Si.
Q2 2025,Energy,,6 meses a 1 año,10,10,10,"Mi líder me brinda las oportunidades para aprender, ayuda a que mi inserción en nuevos temas sea progresiva y finalmente me brinda la confianza para desplegar procesos y operaciones vitales. Siempre está abierta a responder dudas y a realizar seguimiento.","No tengo recomendaciones, en general la experiencia es muy buena. ",Sin comentarios,"Me entusiasma todos los días contribuir mi parte al crecimiento de este gran proyecto tan alineado con mi propio proyecto de vida; aprendo mucho cada día y me dan la oportunidad de brillar. Además, el ambiente laboral es muy acogedor. ",Crecimiento y Aprendizaje,Si.,Si.,Si.,Si.,Si.,Si.,Si.
Q2 2025,Finanzas,FP&A,Más de 1 año,8,9,10,"Manu es un líder excepcional, tanto en lo técnico como en lo estratégico. Es cercano, comunica con claridad y mantiene al equipo alineado y motivado. Escucha activamente, dedica tiempo de calidad a cada persona y representa ese tipo de líder que uno admira y quiere seguir.","Bia tiene una experiencia cultural y social muy fuerte: las actividades, los espacios de integración y el esfuerzo de los líderes por fomentar colaboración entre áreas hacen que trabajar acá sea motivador y divertido. Sin embargo, creo que podríamos mejorar si se hiciera más visible y claro el plan de crecimiento y desarrollo para cada colaborador. Entender cuál es nuestro propósito en Bia, hacia dónde podemos proyectarnos y cuál es el camino para lograrlo, complementaría mucho la motivación que ya sentimos hoy.",Plan de Carrera y Capacitación,"Me siento altamente motivada de trabajar en Bia, especialmente porque estoy liderando desafíos que me he propuesto personalmente: estructurar procesos, asumir nuevos proyectos y aportar con ideas que impulsen el crecimiento de la compañía. Hemos logrado avances importantes, pero también tenemos grandes retos por delante, y eso me entusiasma aún más para seguir contribuyendo desde FP&A.",Crecimiento y Aprendizaje,Si.,Si.,Si.,Si.,Si.,Si.,Si.
Q2 2025,Datos,,Más de 2 años,8,9,10,"Mi líder brinda los espacios necesarios de feedback dando los puntos a tener en cuenta para mejorar en el proceso (aquí se involucra tanto herramientas como conocimientos), así mismo, brinda oportunamente el momento para colaborar con las demás áreas de la compañía para entender y dar apoyo a los procesos que lo necesitan. Es colaborador, dispuesto a solucionar problemas y propositivo para dar soluciones óptimas frente a los procesos actuales y futuros (En Construcción) que está enfrentando la compañía. ",Me gustaría tener más salas para poder tener reuniones virtuales. Tener otro espacio para poder tomar el almuerzo. Mejorar la conexión a internet. ,Comunicación Interna,"Me gusta por lo desafiante que es y eso me motiva a poder mejorar mis habilidades blandas y técnicas. Poder enfrentarse a retos diariamente que ayudan con el crecimiento laboral, lo que es un motivamente para seguir aprendiendo y dar opiniones críticas para seguir impulsando el desarrollo de la compañía. ",Crecimiento y Aprendizaje,Si.,Si.,Si.,Si.,Si.,Si.,Si.
Q2 2025,Energy,,Más de 2 años,7,9,10,Mi líder es claro con las tareas y objetivos esperados para la compañía.,Flexibilidad en los días que se debe venir a la oficina,Sin comentarios,"Por la cultura de la empresa que permite el desarrollo profesional y personal, al poder enfrentarnos a retos y siendo disruptivos en el mercado de energía",Crecimiento y Aprendizaje,Si.,Si.,Si.,Si.,Si.,Si.,Si.
Q2 2025,Datos,,Más de 1 año,8,9,10,Para la cultura que queremos en Bia es necesario que los líderes reflejen ese empuje que se requiere para poder actuar a la velocidad que la empresa lo requiere,"A pesar de que los objetivos sean claros cambian tan rápido que se puede perder la cadencia con la que se trabaja para alcanzar los objetivos, dependiendo de la magnitud del cambio en ciertas ocasiones es como empezar desde cero, esto genera sensación de poco avance o en el peor de los casos de avances nulos.",Cultura y Liderazgo,Los espacios y oportunidades que se generan y permiten generar en la empresa fomentan el crecimiento constante y así mismo mantener la motivación,Crecimiento y Aprendizaje,Si.,Si.,Si.,Si.,Si.,Si.,Si.
Q2 2025,Finanzas,FP&A,4 meses a 6 meses,9,10,10,"Siento que a pesar del poco tiempo que tiene mi líder en posiciones de liderazgo, hace un esfuerzo consiente y constante en implementar activamente sus responsabilidades y en motivar a las personas que tiene a cargo. Adicionalmente, tiene un gran conocimiento del negocio en el cual se encuentra Bia.",Mejor documentación de procesos por áreas. ,Procesos y Herramientas,"Me gusta mucho mi área y el equipo de profesionales que me rodea. Adicionalmente, es un ambiente que me empuja a mejorarme constantemente y a proponer nuevas ideas.",Crecimiento y Aprendizaje,Si.,Si.,Parcialmente.,Si.,Si.,Parcialmente.,Si.
Q2 2025,Operaciones,Técnicos electricistas,Más de 1 año,10,10,10,"Excelente lider, te direcciona, te ayuda en momento que se necesita. Buena persona colaborador ",Na,Sin comentarios,"Excelente empresa, buen trato, excelente ambiente laboral ",Equipo y Cultura,Si.,Si.,Si.,Si.,Si.,Si.,Si.
Q2 2025,Operaciones,Técnicos electricistas,Más de 1 año,10,10,10,Excelente la forma como nuestro líder nos informa los cambios que debemos hacer para salir adelante ,Realizar más integraciónes con los colaboradores fuera de lo laboral ,Bienestar y Balance,Es una startup que le brindar la oportunidad de crecer en lo personal y lo laboral ,Crecimiento y Aprendizaje,Si.,Si.,Si.,Si.,Si.,Si.,Si.
Q2 2025,Finanzas,VP,Más de 3 años,8,9,10,Excelente motivador.,"Depende del fit que vea, si es un fit... sería un 10.",General / Otros,Bia es un excelente lugar para trabajar y desarrollarse.,General / Otros,Parcialmente.,Si.,Si.,Si.,Si.,Si.,Si.
Q2 2025,Operaciones,General,Más de 1 año,7,6,10,"Mi lider es claro, pero es necesario mejorar la cultura ",Creo que podrían mejorar el ambiente en la compañía sobre la seguridad y compromiso ,Cultura y Liderazgo,Deberia mejora un poco la cultura y seguridad en la compañia ,Equipo y Cultura,No.,Si.,Si.,Si.,Si.,Si.,Parcialmente.
Q2 2025,Operaciones,Técnicos electricistas,Más de 1 año,10,10,10,"Siempre he pensado que es más valioso escuchar que hablar, y considero a mi líder una persona con actitud de escuchar. Un buen ser humano, que se preocupa por mejorar y crecer.","Es complejo pero muy interesante trabajar en esta compañía desde Barranquilla, estando lejos de ustedes en Bogota, distinta cultura, y costumbres,  pero nos une la energía, el usuario, y las ganas de avanzar y crecer día a día.
Más que como mejorar la experiencia del colaborador. les agradezco lo fácil que hacen sentirnos parte importante de Bia.
",Sin comentarios,"Me han brindado crecimiento profesional, conocimiento, he aprendido de mis errores en la compañía, recibo siempre un trato respetuoso.",Crecimiento y Aprendizaje,Si.,Parcialmente.,Si.,Si.,Si.,Si.,Si.
Q2 2025,Operaciones,Técnicos electricistas,4 meses a 6 meses,10,10,10,"Es una persona que está clara en su enfoque y va de la mano con la visión de Bia, sabe reconocer sus errores y ayuda como no tiene idea a su equipo ",Siguiendo como vienen sin desmejorar o cambiar las intenciones y agregando mayores ventajas y incentivos dónde podamos seguir adelante de la mano de Bia ,Beneficios y Salario,"Cuento con mayores incentivos y ganas generadas por la empresa, a qué me refiero en Bia tengo un sin fin de mayores oportunidades que en cualquier otra empresa y eso me motiva a seguir adelante tanto personal como laboralmente ",Crecimiento y Aprendizaje,Si.,Si.,Si.,Si.,Si.,Si.,Si.
Q2 2025,Acquisition,Partnerships,4 meses a 6 meses,10,8,10,"Mi lider es claro, me apoya, me motiva, me reta, me da el feedback necesario para ser mejor","Más interacción entre los equipos, entre los pisos 2 y 3",Cultura y Liderazgo,"Estoy muy motivada diariamente, me gustan los retos que tengo y el equipo de trabajo",Crecimiento y Aprendizaje,Parcialmente.,Si.,Si.,Si.,Si.,Si.,Si.
Q2 2025,Producto,Product Manager,Más de 2 años,7,9,10,"Mi líder me motiva, me reta y me impulsa a crecer ",Tener más claridad en un plan de desarrollo según cada tipo de rol ,Plan de Carrera y Capacitación,"Me siento muy motivada por los retos, el quipo y liderazgo que tengo.",Crecimiento y Aprendizaje,Si.,Si.,Si.,Si.,Si.,Si.,Si.
Q2 2025,Operaciones,VP,Más de 1 año,10,9,10,"Considero que uno de los pilares principales de la cultura son nuestro líderes. Y creo que Sebas representa muy bien frentes de motivación, gestión y desrrollo.",Onboardings que hagan mas corta y/o eficiente la curva de aprendizaje.,Plan de Carrera y Capacitación,"La cultura es algo que resalto fuertemente de Bia, el grupo de personas con quien trabajo me reta todos los días y me hace crecer y creo que tenemos un reto gigante para construir.",Crecimiento y Aprendizaje,Si.,Si.,Si.,Si.,Si.,Si.,Si.
